pregunta,a,b,c,d,correcta,materia,tema
"Conferencia Berlín organizó:","A) Guerra Otomano","B) Reparto África","C) Alianza contra EE.UU.","D) Fronteras Balcanes",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
""Darwinismo Social"" justificaba:","A) Ayuda igualitaria","B) Derecho superiores dominar inferiores","C) Competencia perjudicial","D) Fortalecimiento colonias",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Expansión imperial facilitada:","A) Imprenta","B) Ferrocarril, barco vapor, quinina","C) Rueda","D) Brújula",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"Teoría relatividad:","A) Curie","B) Newton","C) Edison","D) Einstein",D,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"Detonante Primera Guerra:","A) Invasión Polonia","B) Asesinato archiduque Francisco Fernando","C) Firma Triple Alianza","D) Revolución Rusa",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Alianzas enfrentadas 1914:","A) Triple Alianza y Triple Entente","B) Aliados y Eje","C) OTAN y Pacto Varsovia","D) Liga Naciones y Eje",A,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Primera Guerra Mundial caracterizada:","A) Movimientos rápidos","B) Trincheras","C) Guerrillas","D) Desgaste naval",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Nuevo armamento 1914-18:","A) Bomba atómica","B) Tanques, aviones, gas","C) Misiles","D) Drones",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
""Paz Armada"" antes 1914:","A) Desarme","B) Carrera armamentista y alianzas","C) Sin conflictos","D) Hegemonía EE.UU.",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Revolución Rusa 1917 bolcheviques liderada:","A) Trotsky","B) Lenin","C) Stalin","D) Kerensky",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Tratado Versailles impuso Alemania:","A) Pérdida territorios, desmilitarización, reparaciones","B) Anulación deudas","C) Expansión colonial","D) Unión Austria",A,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Sociedad Naciones creada:","A) Repartir colonias","B) Promover paz","C) Gobierno mundial","D) Administrar Plan Marshall",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Gran Depresión inició crack:","A) Londres","B) París","C) Nueva York","D) Berlín",C,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
""New Deal"" presidente:","A) Hoover","B) F. D. Roosevelt","C) Wilson","D) Coolidge",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Hiperinflación Alemania 1923:","A) New Deal","B) Imprimir dinero reparaciones","C) Especulación","D) Prosperidad años 20",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Régimen fascista Italia liderado:","A) Hitler","B) Mussolini","C) Franco","D) Stalin",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Ideología nacionalsocialista:","A) Internacionalismo","B) Expansionismo y supremacía aria","C) Democracia","D) Libre comercio",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Mein Kampf"" escrito:","A) Mussolini","B) Hitler","C) Franco","D) Stalin",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Noche cristales rotos"" (1938):","A) Celebración nazi","B) Pogromo judíos","C) Bombardeo Londres","D) Invasión Polonia",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Régimen Stalin caracterizado:","A) Libre mercado","B) Colectivización forzosa y purgas","C) Coexistencia pacífica","D) Descentralización",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Inicio Segunda Guerra Europa:","A) Pearl Harbor","B) Invasión Polonia Alemania","C) Stalingrado","D) Normandía",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Bloques enfrentados Segunda Guerra:","A) Aliados y Eje","B) OTAN y Pacto Varsovia","C) Triple Entente y Triple Alianza","D) Liga Naciones y Eje",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Ataque Pearl Harbor entrada:","A) Alemania","B) EE.UU.","C) URSS","D) Italia",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Batalla Stalingrado decisiva:","A) Liberación París","B) Primera gran derrota alemana oriental","C) Rendición Italia","D) Abrió frente africano",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Día D:","A) Rendición Japón","B) Desembarco Normandía","C) Caída Berlín","D) Pearl Harbor",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Bombas atómicas Hiroshima y Nagasaki:","A) Rendición Alemania","B) Entrada Italia","C) Rendición Japón y fin guerra","D) Inicio Guerra Corea",C,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"ONU fundada:","A) 1919","B) 1945","C) 1955","D) 1989",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Juicios Núremberg:","A) Líderes japoneses","B) Líderes nazis crímenes","C) Líderes fascistas italianos","D) Soldados rasos",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Tras Segunda Guerra, bloques liderados:","A) Reino Unido y Francia","B) EE.UU. y URSS","C) Alemania y Japón","D) China e India",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Los bloques de poder"
"Tensión sin confrontación directa EE.UU.-URSS:","A) Guerra Caliente","B) Guerra Desgaste","C) Guerra Fría","D) Coexistencia Pacífica",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Doctrina Truman:","A) Aislacionismo","B) Contención comunismo ayuda","C) Coexistencia","D) Descolonización Asia",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Alianza militar bloque occidental 1949:","A) Pacto Varsovia","B) OTAN","C) OEA","D) CEE",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Respuesta OTAN, URSS creó:","A) Eje","B) Triple Entente","C) Pacto Varsovia","D) Comecón",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Muro Berlín símbolo:","A) Unión europea","B) División Europa Guerra Fría","C) Prosperidad alemana","D) Caída comunismo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Crisis misiles Cuba (1962):","A) EE.UU. y China","B) EE.UU. y URSS","C) URSS y China","D) Cuba y México",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Corea (1950-53):","A) Corea Norte (URSS/China) y Corea Sur (EE.UU./ONU)","B) Solo dos Coreas","C) EE.UU. y URSS directamente","D) China y Japón",A,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Vietnam:","A) URSS invadió Vietnam Sur","B) Vietnam Norte y Vietcong vs Vietnam Sur y EE.UU.","C) China ocupó Vietnam","D) Guerra rápida",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Descolonización tras 1945:","A) Nuevos imperios","B) Independencia colonias y nuevos Estados","C) Fusión colonias","D) Continuidad dominio europeo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Líder indio resistencia no violenta:","A) Nehru","B) Jinnah","C) Gandhi","D) Indira Gandhi",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Conferencia Bandung (1955):","A) Europa y América","B) Asia y África recién independizados","C) Bloque soviético","D) Bloque capitalista",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Apartheid:","A) EE.UU.","B) India","C) Sudáfrica","D) Australia",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Caída Muro Berlín 1989:","A) Inicio Segunda Guerra","B) Fortalecimiento comunismo","C) Fin Guerra Fría y colapso soviético","D) Reunificación inmediata Europa",C,Historia Universal,"El mundo actual, La caída del bloque soviético"
"URSS disuelta:","A) 1989","B) 1991","C) 1945","D) 1975",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Globalización:","A) Aislamiento económico","B) Interdependencia mundial","C) Fortalecimiento fronteras","D) Desaparición comercio",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Internet ejemplo:","A) Retroceso comunicativo","B) Desarrollo científico-tecnológico global","C) Iniciativa solo militar","D) Política aislamiento",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Unión Europea ejemplo:","A) Imperio colonial","B) Bloque militar agresivo","C) Integración regional","D) Estado nacional unitario",C,Historia Universal,"El mundo actual, La globalización económica y política"
"Problemas globales actuales:","A) Sin conflictos","B) Fin desigualdades","C) Cambio climático y terrorismo","D) Aislamiento total",C,Historia Universal,"El mundo actual, La globalización económica y política"
"Historia ciencia estudia pasado:","A) Mitos","B) Análisis crítico fuentes","C) Adivinación","D) Tradición oral solo",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Periodización a.C./d.C. origen:","A) Cristiano","B) Musulmán","C) Judío","D) Romano",A,Historia Universal,"La Historia, Periodización de la Historia"
"Ilustración fuente conocimiento:","A) Fe","B) Tradición","C) Razón","D) Emoción",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Despotismo ilustrado: ""Todo para el pueblo, sin el pueblo""","A) Rousseau","B) Voltaire","C) Monarca ilustrado","D) Marx",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"John Locke: soberanía en:","A) Rey","B) Pueblo","C) Iglesia","D) Ejército",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Burguesía propietaria:","A) Tierra y títulos","B) Medios producción","C) Solo fuerza trabajo","D) Cargos eclesiásticos",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
""Hombre nace libre... encadenado"":","A) Smith","B) Voltaire","C) Rousseau","D) Montesquieu",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Liberalismo económico: precios por:","A) Decretos","B) Oferta y demanda","C) Sindicatos","D) Planes quinquenales",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Sufragio censitario: voto:","A) Todos adultos","B) Hombres propiedad/renta","C) Clero y nobleza","D) Extranjeros",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Santa Alianza (1815):","A) Países liberales","B) Monarquías absolutistas reprimir revoluciones","C) Estados italianos","D) Países descolonizados",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
""Manifiesto Comunista"" 1848:","A) Owen","B) Marx y Engels","C) Bakunin","D) Saint-Simon",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Para Marx, proletariado:","A) Propiedad","B) Fuerza trabajo","C) Conocimiento","D) Lealtad",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
""Risorgimento"":","A) Alemania","B) Italia","C) Grecia","D) EE.UU.",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Batalla Sadowa (1866):","A) Francia","B) Austria","C) Dinamarca","D) Rusia",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Nacionalismo pangermánico:","A) Todos pueblos germánicos","B) Solo estados alemanes norte","C) Alemania y Francia","D) Imperio Austrohúngaro",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Explotación caucho África:","A) Humanitaria","B) Económica","C) Religiosa","D) Deportiva",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Motor combustión interna:","A) Telégrafo","B) Automóvil","C) Teléfono","D) Barco vela",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"Sistema alianzas antes 1914:","A) Garantizaba paz","B) Conflictos locales a guerra general","C) Desarmaba naciones","D) Fomentaba libre comercio",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Batalla Verdún (1916):","A) Guerra movimientos","B) Guerra desgaste enormes bajas","C) Guerra naval","D) Entrada EE.UU.",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Guerra submarina sin restricciones:","A) Gran Bretaña","B) Alemania","C) Francia","D) Rusia",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Bolcheviques tomaron poder:","A) Febrero 1917","B) Octubre 1917","C) Julio 1914","D) Marzo 1918",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Tratado Brest-Litovsk (1918):","A) Gran victoria","B) Salida guerra cediendo territorios","C) Entrada Sociedad Naciones","D) Inicio colectivización",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
""Catorce Puntos"":","A) Lloyd George","B) Clemenceau","C) Wilson","D) Orlando",C,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Crack 1929:","A) Subproducción","B) Especulación y sobreendeudamiento","C) Exceso regulación","D) Paz duradera",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"New Deal programas:","A) Control migratorio","B) Obras públicas y empleo","C) Espionaje","D) Expansión militar",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Fascismo surgió:","A) Prosperidad","B) Crisis económica y miedo comunismo","C) Victoria guerra","D) Presión descolonizadora",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Nazismo culpaba judíos:","A) Derrota Segunda Guerra","B) Problemas Alemania post Primera Guerra","C) Inventar liberalismo","D) Ser terratenientes",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Marcha sobre Roma"" (1922):","A) Arrestado","B) Nombrado primer ministro","C) Escapó","D) Derrotó aliados",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Gran Terror"" URSS (1936-38):","A) Mejorar condiciones","B) Eliminar oposición","C) Fomentar democracia","D) Preparar invasión Alemania",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Hitler violó Tratado Versailles:","A) Desarme","B) Remilitarización Renania y Anschluss","C) Devolución colonias","D) Pago reparaciones",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Batalla Midway (1942):","A) Frente europeo","B) Guerra Pacífico","C) Frente africano","D) Batalla Atlántico",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Conferencia Teherán (1943):","A) Hitler, Mussolini, Hirohito","B) Churchill, Roosevelt, Stalin","C) Truman, Attlee, Stalin","D) De Gaulle, Eisenhower, Churchill",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Segunda Guerra terminó Europa:","A) 1944","B) 1945","C) 1946","D) 1943",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Guerra Fría comenzó:","A) Primera Guerra","B) Revolución Rusa","C) Segunda Guerra","D) Caída Muro Berlín",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Plan Marshall rechazado:","A) Gran Bretaña","B) URSS y satélites","C) Alemania Occidental","D) Italia",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Muro Berlín construido:","A) Proteger Berlín Occidental","B) Detener fuga Alemania Oriental a Occidental","C) Celebrar reunificación","D) Monumento turístico",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
""Doctrina Destrucción Mutua Asegurada"" (MAD):","A) Guerra convencional","B) Disuasión nuclear","C) Guerrilla","D) Ayuda económica",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Primavera Praga (1968):","A) Invasión nazi","B) Intento reforma aplastado Pacto Varsovia","C) Independencia","D) Revolución exitosa",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Afganistán (1979-89):","A) EE.UU. directamente","B) Muyahidines apoyados EE.UU.","C) India","D) Iran",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Descolonización Congo Belga:","A) Mandela","B) Lumumba","C) Nkrumah","D) Kenyatta",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Movimiento Países No Alineados:","A) Aliarse EE.UU.","B) Neutralidad sin adherirse bloques","C) Tercer bloque militar","D) Restaurar colonialismo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
""Revolución Terciopelo"" Checoslovaquia (1989):","A) Guerra civil","B) Transición pacífica comunismo a democracia","C) Invasión soviética","D) Golpe militar",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Alemania reunificada:","A) 1989","B) 1990","C) 1991","D) 1945",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"UE surgió:","A) OTAN","B) CECA","C) Pacto Varsovia","D) Sociedad Naciones",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Revolución digital:","A) Máquina vapor","B) Informática e internet","C) Motor combustión","D) Ferrocarril",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Desafíos actuales:","A) Sin conflictos","B) Desigualdades y pandemias","C) Aislamiento total","D) Fin avances tecnológicos",B,Historia Universal,"El mundo actual, La globalización económica y política"
"¿Qué entiende la Historia por 'fuente secundaria'?","A) Un objeto arqueológico","B) Un testimonio directo de un evento","C) Un estudio que interpreta fuentes primarias","D) Una inscripción en piedra contemporánea al hecho",C,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"La 'historiografía' se refiere específicamente a:","A) La recolección de datos estadísticos del pasado","B) El estudio de las distintas interpretaciones y escritos sobre la historia","C) La excavación de sitios arqueológicos","D) La enseñanza de fechas memorísticas",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"¿Cuál de estos NO es un criterio típico para la periodización histórica?","A) Cambios en la organización política","B) Transformaciones tecnológicas significativas","C) El signo zodiacal predominante","D) Cambios en las estructuras socioeconómicas",C,Historia Universal,"La Historia, Periodización de la Historia"
"El paso de la Prehistoria a la Historia está marcado principalmente por:","A) El dominio del fuego","B) La invención de la escritura","C) La aparición del Homo sapiens","D) El inicio de la agricultura",B,Historia Universal,"La Historia, Periodización de la Historia"
"La Ilustración proponía que el progreso de la humanidad se alcanzaría mediante:","A) El retorno a las tradiciones medievales","B) La aplicación de la razón y el conocimiento científico","C) La fe religiosa exclusivamente","D) La conquista militar de nuevos territorios",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"El concepto de 'derechos naturales' del ser humano, como la vida y la libertad, fue fundamental en el pensamiento de:","A) Los fisiócratas","B) Los teólogos medievales","C) Los pensadores ilustrados como John Locke","D) Los dirigentes del Antiguo Régimen",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"¿Cuál fue una consecuencia directa del fortalecimiento de la burguesía en el siglo XVIII?","A) El debilitamiento del sistema gremial artesanal","B) El fortalecimiento del poder absoluto de la monarquía","C) La disminución del comercio internacional","D) El aumento del poder político del campesinado",A,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Las 'sociedades por acciones' y la banca moderna se desarrollaron como instrumentos para:","A) Controlar la natalidad","B) Centralizar el poder en la nobleza","C) Financiar empresas industriales y comerciales burguesas","D) Eliminar la propiedad privada",C,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"El principio del 'laissez-faire' en economía implicaba que el Estado:","A) Debía planificar toda la producción","B) No debía intervenir en el mercado","C) Debía controlar los precios de todos los bienes","D) Era el único propietario de los medios de producción",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"David Ricardo contribuyó al liberalismo económico con su teoría de:","A) La plusvalía","B) Las ventajas comparativas en el comercio internacional","C) La dictadura del proletariado","D) La economía planificada centralmente",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"El liberalismo político del siglo XIX propugnaba por un Estado que garantizara:","A) La igualdad económica absoluta","B) Los derechos y libertades individuales mediante leyes","C) El control estatal de la prensa","D) La primacía de la religión oficial",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"El enfrentamiento entre 'unitarios' y 'federales' en algunas naciones americanas del siglo XIX reflejaba la lucha entre:","A) Socialistas y capitalistas","B) Ideales liberales y conservadores en la organización del Estado","C) Imperalistas y antiimperialistas","D) Monárquicos y republicanos",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Los conservadores latinoamericanos del siglo XIX generalmente apoyaban:","A) La separación Iglesia-Estado","B) El mantenimiento de los privilegios de la Iglesia y los terratenientes","C) El sufragio universal","D) Las reformas agrarias radicales",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"La 'Liga de los Justos', antecedente de organizaciones socialistas, se transformó bajo la influencia de Marx y Engels en:","A) La Internacional Anarquista","B) La Liga de los Comunistas","C) El Partido Socialdemócrata Alemán","D) La Sociedad Fabiana",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La frase 'La religión es el opio del pueblo' refleja la crítica marxista a:","A) La ciencia","B) Las instituciones religiosas como instrumento de dominación de clase","C) La libertad de culto","D) El ateísmo estatal",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"El anarcosindicalismo proponía que la revolución social se lograría a través de:","A) La toma del poder estatal por un partido político","B) La acción directa de los sindicatos y la huelga general","C) Las reformas legales graduales","D) La propaganda religiosa",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La 'cuestión romana' fue un obstáculo en la unificación italiana porque involucraba:","A) La posesión de Venecia por Austria","B) El control de los Estados Pontificios y la ciudad de Roma","C) La rebelión del Reino de las Dos Sicilias","D) La oposición de Francia a la unificación",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"El 'Kulturkampf' (lucha cultural) emprendido por Bismarck en Alemania fue un conflicto contra:","A) La influencia política y social de la Iglesia católica","B) El movimiento socialista","C) Los nacionalistas polacos","D) La burguesía liberal",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"El nacionalismo de fines del siglo XIX en Europa oriental a menudo tomó la forma de:","A) Movimientos de unificación de grandes Estados","B) Luchas de independencia de pueblos dentro de imperios multinacionales","C) Políticas de expansión colonial","D) Programas de liberalización económica",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"La necesidad de mercados para colocar los excedentes de la producción industrial fue una causa económica clave del:","A) Liberalismo político","B) Imperialismo","C) Socialismo utópico","D) Nacionalismo cultural",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La conquista y colonización de vastos territorios en África y Asia a finales del siglo XIX es un ejemplo de:","A) Descolonización","B) Imperialismo","C) Nacionalismo unificador","D) Aislamiento económico",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La rivalidad imperialista entre Gran Bretaña y Rusia en el siglo XIX por el control de Asia Central fue conocida como:","A) El Gran Juego","B) La Guerra Fría","C) La Paz Armada","D) El Reparto de África",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La invención de la locomotora de vapor por George Stephenson fue fundamental para el imperialismo porque:","A) Permitió la comunicación telegráfica","B) Facilitó el transporte terrestre masivo de mercancías y tropas en las colonias","C) Revolucionó la navegación transatlántica","D) Fue usada principalmente para fines agrícolas",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"El desarrollo de la bacteriología, con figuras como Louis Pasteur, contribuyó al imperialismo al:","A) Crear nuevas armas químicas","B) Reducir la mortalidad por enfermedades infecciosas en climas tropicales","C) Inventar el motor de combustión","D) Descubrir la penicilina",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"La 'triple entente' previa a 1914 estaba formada por:","A) Alemania, Austria-Hungría e Italia","B) Francia, Rusia y Gran Bretaña","C) Alemania, Italia y Japón","D) Austria-Hungría, el Imperio Otomano y Bulgaria",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"El asesinato del archiduque Francisco Fernando ocurrió en la ciudad de:","A) Viena","B) Berlín","C) Sarajevo","D) Belgrado",C,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"¿Qué característica definió la guerra en el frente occidental entre 1915 y 1917?","A) Grandes avances de caballería","B) Una guerra de movimientos rápidos","C) Un estancamiento en trincheras con batallas de desgaste","D) Batallas principalmente navales",C,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La batalla de Gallipoli (1915-1916) fue un intento fallido de los Aliados de:","A) Invadir Alemania por el norte","B) Tomar Constantinopla y forzar la salida del Imperio Otomano de la guerra","C) Liberar Bélgica","D) Derrotar a Italia",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"El uso de gases venenosos, como en la Segunda Batalla de Ypres, marcó:","A) Una violación de las convenciones de guerra existentes","B) Una táctica sin consecuencias reales","C) Una innovación exclusivamente alemana","D) El fin de la guerra de trincheras",A,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La 'Revolución de Febrero' de 1917 en Rusia resultó en:","A) La toma del poder por los bolcheviques","B) La abdicación del zar y la formación de un gobierno provisional","C) La rendición de Rusia ante Alemania","D) El establecimiento de una monarquía constitucional",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Los 'Soviets' que surgieron en 1917 eran asambleas de representantes de:","A) La nobleza y el clero","B) Obreros, soldados y campesinos","C) Solo los altos mandos del ejército","D) Los industriales y comerciantes",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El 'Comunismo de Guerra' instaurado por los bolcheviques durante la guerra civil implicó:","A) La privatización de todas las empresas","B) La nacionalización de la industria y la requisa forzosa de granos","C) La libre empresa en el campo","D) La apertura comercial total",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"La creación de nuevos estados como Polonia, Checoslovaquia y Yugoslavia tras la Primera Guerra Mundial se basó en el principio de:","A) Imperialismo","B) Autodeterminación de los pueblos","C) Restauración monárquica","D) Colonialismo",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El 'Crack del 29' se refiere al colapso de:","A) El sistema bancario europeo","B) La producción industrial soviética","C) La bolsa de valores de Nueva York","D) El mercado inmobiliario francés",C,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
